0,1,2
WMT,2023-05-05,151.77
WBD,2023-05-05,12.89
WAT,2023-05-05,296.79
WEC,2023-05-05,96.01
WFC,2023-05-05,37.94
WST,2023-05-05,368.46
WDC,2023-05-05,33.45
WRK,2023-05-05,28.45
WHR,2023-05-05,137.02
WMB,2023-05-05,30.18
WTW,2023-05-05,227.82
GWW,2023-05-05,675.51
XEL,2023-05-05,69.57
XYL,2023-05-05,108.97
YUM,2023-05-05,137.49
ZBH,2023-05-05,137.91
ZTS,2023-05-05,186.23
